,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
0,0,4500000,1.0,22.6,3.0,3.0,Косметический,Свободная продажа,нет,есть,1975.0,Панельный,1-464,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.1225647,131.9078475
1,1,10000000,3.0,75.4,5.0,6.0,Евро,,,,2018.0,Монолитный,,10.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.1189565,131.9684815
2,2,6650000,1.0,31.6,5.0,2.0,Отсутствует,Альтернатива,,,,Кирпичный,,3.0,,,,,1.0,,,,,,,,,,,,,,,43.1837352,131.92520064584687
3,3,11000000,2.0,47.0,3.1,6.0,Отсутствует,,,,,Монолитный,,7.0,,,,,1.0,,,,,,,,,,,,,,,43.0862091,131.8549304
4,4,4900000,1.0,24.1,3.0,16.0,Отсутствует,,,,2020.0,Монолитный,,26.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,43.11882655,131.97073175000003
5,5,5950000,2.0,41.5,6.0,5.0,Косметический,,,,1969.0,Кирпичный,v-кирпичный,5.0,,Железобетонный,,,1.0,,Центральное,Центральное,Центральное,4.0,,,,,,,,,,43.23368255,132.0224931993368
6,6,4000000,1.0,20.7,6.0,3.0,Косметический,Свободная продажа,нет,есть,1973.0,Кирпичный,II-66,9.0,есть,Железобетонный,Ленточный,,,177.0,,,,,,,,,,,,,,43.1627001,131.9300978509137
7,7,6000000,1.0,28.7,5.0,4.0,Косметический,,,,1964.0,Панельный,II-32,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.1552073,131.911553
8,8,8200000,2.0,41.9,7.0,2.0,Евро,Свободная продажа,,,1953.0,Кирпичный,1-513,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.16168455,131.92121063842603
9,9,7400000,4.0,63.1,6.8,7.0,Косметический,,,есть,1970.0,Панельный,81,9.0,есть,Железобетонный,Ленточный,,1.0,144.0,,,,,,,,,,,,,,43.0992394,131.93553133772065
10,10,8400000,1.0,37.6,9.0,5.0,Евро,,,,2021.0,Монолитный,,25.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,43.11782115,131.97027802496342
11,11,9000000,2.0,60.5,,3.0,Отсутствует,,нет,,2020.0,Монолитный,,20.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.2140692,131.94946215572705
12,12,7500000,3.0,58.7,9.0,3.0,Евро,,,есть,1994.0,Панельный,П-3,10.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,,,,,,,,
13,13,3750000,1.0,23.1,4.0,4.0,Евро,Свободная продажа,нет,есть,1981.0,Панельный,П-55,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.13282355,131.94753630881388
